main,Thread 0,Thread 1,Thread 2,Thread 3,Thread 4,Thread 5,Thread 6,Thread 7
"",Push START,"","","","","","",""
"","","","","",Equals START,"","",""
"","","","","",Equals END,"","",""
"",Push END,"","","","","","",""
"",Push START,"","","","","","",""
"","","","","","",Equals START,"",""
"","","","","","","",toString START,""
"","","","",Pop START,"","","",""
"","","","",Pop END,"","","",""
"","","","",Pop START,"","","",""
"","","","",Pop END,"","","",""
"","","","",Pop START,"","","",""
"","",Push START,"","","","","",""
"","",Push END,"","","","","",""
"","",Push START,"","","","","",""
"","",Push END,"","","","","",""
"","",Push START,"","","","","",""
"","","","",Pop END,"","","",""
"","","","",Pop START,"","","",""
"","","","","","","",toString END,""
"","","","","","","",toString START,""
"","","","","","","","",toString START
"","","","","","",Equals END,"",""
"","","","","","",Equals START,"",""
"",Push END,"","","","","","",""
"",Push START,"","","","","","",""
"","","",Pop START,"","","","",""
"","","",Pop END,"","","","",""
"","","","","",Equals START,"","",""
"","","","","",Equals END,"","",""
"","","",Pop START,"","","","",""
"","","",Pop END,"","","","",""
"",Push END,"","","","","","",""
"",Push START,"","","","","","",""
"","","","","","",Equals END,"",""
"","","","","","",Equals START,"",""
"","","","","","",Equals END,"",""
"","","","","","",Equals START,"",""
"","","","","","","","",toString END
"","","","","","","","",toString START
"","","","","","","",toString END,""
"","","","","","","",toString START,""
"","","","",Pop END,"","","",""
"","","","","","","",toString END,""
"","","","",Pop START,"","","",""
"","","","","","","",toString START,""
"","","","",Pop END,"","","",""
"","","","","","","",toString END,""
"","","","","","","",toString START,""
"","",Push END,"","","","","",""
"","",Push START,"","","","","",""
"","",Push END,"","","","","",""
"","",Push START,"","","","","",""
"","","","","","","",toString END,""
"","","","","","","","",toString END
"","","","","","","","",toString START
"","","","","","",Equals END,"",""
"","","","","","","","",toString END
"","","","","","",Equals START,"",""
"","","","","","",Equals END,"",""
"",Push END,"","","","","","",""
"",Push START,"","","","","","",""
"","","",Pop START,"","","","",""
"","","",Pop END,"","","","",""
"","","",Pop START,"","","","",""
"","","",Pop END,"","","","",""
"","","",Pop START,"","","","",""
"","","","","",Equals START,"","",""
"","","","","",Equals END,"","",""
"","","",Pop END,"","","","",""
"",Push END,"","","","","","",""
"","","","","","","","",toString START
"","",Push END,"","","","","",""
"","","","","","","","",toString END
"","","","","","","","",toString START
"","","","","","","","",toString END
"","","","","",Equals START,"","",""
"","","","","",Equals END,"","",""
"","","","","",Equals START,"","",""
"","","","","",Equals END,"","",""
