main,Thread 0,Thread 1,Thread 2,Thread 3,Thread 4,Thread 5,Thread 6,Thread 7
"",Push START,"","","","","","",""
"",Push END,"","","","","","",""
"","","",Pop START,"","","","",""
"","","",Pop END,"","","","",""
"","","",Pop START,"","","","",""
"","","",Pop END,"","","","",""
"","",Push START,"","","","","",""
"","",Push END,"","","","","",""
"","","","","",Equals START,"","",""
"","","","","",Equals END,"","",""
"","",Push START,"","","","","",""
"","",Push END,"","","","","",""
"","",Push START,"","","","","",""
"","","","","","",Equals START,"",""
"","","","","","",Equals END,"",""
"","",Push END,"","","","","",""
"","",Push START,"","","","","",""
"","",Push END,"","","","","",""
"","","","","","",Equals START,"",""
"","","","","","",Equals END,"",""
"","","","","","",Equals START,"",""
"","","","","","",Equals END,"",""
"","","","","","",Equals START,"",""
"","","","","","",Equals END,"",""
"","","","","","",Equals START,"",""
"","",Push START,"","","","","",""
"","",Push END,"","","","","",""
"","","","","","",Equals END,"",""
"","","",Pop START,"","","","",""
"","","",Pop END,"","","","",""
"","","",Pop START,"","","","",""
"","","",Pop END,"","","","",""
"","","",Pop START,"","","","",""
"","","","","","","","",toString START
"","","",Pop END,"","","","",""
"","","","","","","","",toString END
"","","","","","","","",toString START
"","","","",Pop START,"","","",""
"","","","","","","","",toString END
"","","","","","","","",toString START
"","","","",Pop END,"","","",""
"","","","",Pop START,"","","",""
"","","","","","","","",toString END
"","","","","","","","",toString START
"","","","",Pop END,"","","",""
"","","","",Pop START,"","","",""
"","","","",Pop END,"","","",""
"","","","",Pop START,"","","",""
"","","","","","","","",toString END
"","","","","","","","",toString START
"","","","",Pop END,"","","",""
"","","","",Pop START,"","","",""
"","","","",Pop END,"","","",""
"","","","","","","","",toString END
"",Push START,"","","","","","",""
"","","","","","","",toString START,""
"",Push END,"","","","","","",""
"","","","","","","",toString END,""
"",Push START,"","","","","","",""
"",Push END,"","","","","","",""
"","","","","","","",toString START,""
"","","","","","","",toString END,""
"",Push START,"","","","","","",""
"",Push END,"","","","","","",""
"","","","","","","",toString START,""
"","","","","","","",toString END,""
"",Push START,"","","","","","",""
"",Push END,"","","","","","",""
"","","","","","","",toString START,""
"","","","","","","",toString END,""
"","","","","","","",toString START,""
"","","","","","","",toString END,""
"","","","","",Equals START,"","",""
"","","","","",Equals END,"","",""
"","","","","",Equals START,"","",""
"","","","","",Equals END,"","",""
"","","","","",Equals START,"","",""
"","","","","",Equals END,"","",""
"","","","","",Equals START,"","",""
"","","","","",Equals END,"","",""
